SourceID,Status,StartDate,Facility,County,Latitude,Longitude,Desc,Count,Animal,State,GeoId
TXG920540,ACTIVE,2/27/2005,TDCJ BETO UNIT,Anderson,31.796578,-95.660682, 10924 TOTAL SWINE OF WHICH 3213 SWINE ARE (UNDER 55 LB) AND 7711 SWINE ARE (55 LB OR OVER),10924,SWINE,TX,48001
TXG921465,ACTIVE,9/1/2016,FARMS 52 95-96 & 509,Hansford,36.13,-101.145, 11092 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 11092 SWINE ARE (55 LB OR OVER),11092,SWINE,TX,48195
TXG921459,ACTIVE,9/1/2016,FARMS 54 98-99 & 511,Ochiltree,36.110833,-100.64833, 11302 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 11302 SWINE ARE (55 LB OR OVER),11302,SWINE,TX,48357
TXG920539,ACTIVE,2/27/2005,TDCJ CLEMENS UNIT,Brazoria,29.185783,-95.46595, 1248 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 1248 SWINE ARE (55 LB OR OVER),1248,SWINE,TX,48039
TXG921580,ACTIVE,11/10/2020,SEABOARD FOODS FARMS 1241 - 1244,Hansford,36.466,-101.3721, 134249 TOTAL SWINE OF WHICH 128749 SWINE ARE (UNDER 55 LB) AND 89500 SWINE ARE (55 LB OR OVER),134249,SWINE,TX,48195
TXG920906,ACTIVE,2/17/2007,SPARKY FARM,Sherman,36.0972,-101.8913, 138080 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 138080 SWINE ARE (55 LB OR OVER),138080,SWINE,TX,48421
TXG921504,ACTIVE,11/4/2017,PRESTAGE DUMAS FARM,Moore,35.787777,-102.03222, 14525 TOTAL SWINE OF WHICH 4400 SWINE ARE (UNDER 55 LB) AND 10125 SWINE ARE (55 LB OR OVER),14525,SWINE,TX,48341
TXG920526,ACTIVE,2/27/2005,TDCJ DARRINGTON UNIT,Brazoria,29.673333,-95.819444, 1490 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 1490 SWINE ARE (55 LB OR OVER),1490,SWINE,TX,48039
TXG920523,ACTIVE,2/27/2005,TDCJ RAMSEY UNIT,Brazoria,29.299722,-95.545222, 1580 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 1580 SWINE ARE (55 LB OR OVER),1580,SWINE,TX,48039
TXG921410,ACTIVE,4/13/2017,SOW 9 AND NURSERIES 9 AND 10,Sherman,36.350324,-102.143445, 16700 TOTAL SWINE OF WHICH 8800 SWINE ARE (UNDER 55 LB) AND 7900 SWINE ARE (55 LB OR OVER),16700,SWINE,TX,48421
TXG920537,ACTIVE,2/27/2005,TDCJ EASTHAM UNIT,Houston,31.256115,-95.367523, 16879 TOTAL SWINE OF WHICH 4242 SWINE ARE (UNDER 55 LB) AND 12637 SWINE ARE (55 LB OR OVER),16879,SWINE,TX,48225
TXG920616,ACTIVE,4/29/2005,TEXAS TECH NEW DEAL RESEARCH FARM,Lubbock,33.729722,-101.73277, 1700 TOTAL SWINE OF WHICH 750 SWINE ARE (UNDER 55 LB) AND 950 SWINE ARE (55 LB OR OVER),1700,SWINE,TX,48303
TXG920911,ACTIVE,2/17/2007,SUNRAY FARM,Sherman,36.110555,-101.66777, 176000 TOTAL SWINE OF WHICH 176000 SWINE ARE (UNDER 55 LB) AND 88000 SWINE ARE (55 LB OR OVER),176000,SWINE,TX,48421
TXG920913,ACTIVE,2/17/2007,TAYLOR B,Sherman,36.1254,-101.6317, 176000 TOTAL SWINE OF WHICH 176000 SWINE ARE (UNDER 55 LB) AND 88000 SWINE ARE (55 LB OR OVER),176000,SWINE,TX,48421
TXG921193,ACTIVE,1/22/2011,FINISHERS 19-21,Sherman,36.2854,-102.0171, 18200 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 18200 SWINE ARE (55 LB OR OVER),18200,SWINE,TX,48421
TXG921191,ACTIVE,1/22/2011,VC SWINE FINISHER 9-11,Sherman,36.479166,-101.669444, 22500 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 22500 SWINE ARE (55 LB OR OVER),22500,SWINE,TX,48421
TXG921192,ACTIVE,1/22/2011,VALL SWINE FEEDLOT,Sherman,36.328333,-101.84166, 23200 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 23200 SWINE ARE (55 LB OR OVER),23200,SWINE,TX,48421
TXG921194,ACTIVE,1/22/2011,FARMS 22-25,Sherman,36.429805,-102.0624, 24200 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 24200 SWINE ARE (55 LB OR OVER),24200,SWINE,TX,48421
TXG921502,ACTIVE,9/29/2017,NPPII WINDTHORST,Archer,33.562694,-98.538194, 25000 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 25000 SWINE ARE (55 LB OR OVER),25000,SWINE,TX,48009
TXG921196,ACTIVE,1/22/2011,FARMS 15-18,Sherman,36.3208,-101.7949, 29500 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 29500 SWINE ARE (55 LB OR OVER),29500,SWINE,TX,48421
TXG921463,ACTIVE,9/1/2016,FARMS 71-76,Ochiltree,36.427222,-100.6803, 31104 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 31104 SWINE ARE (55 LB OR OVER),31104,SWINE,TX,48357
TXG921460,ACTIVE,9/1/2016,FARMS 458-475 & 501-508,Ochiltree,36.320277,-100.65583, 327996 TOTAL SWINE OF WHICH 108000 SWINE ARE (UNDER 55 LB) AND 219996 SWINE ARE (55 LB OR OVER),327996,SWINE,TX,48357
TXG920524,ACTIVE,2/27/2005,TDCJ FERGUSON UNIT,Madison,30.957102,-95.925415, 3373 TOTAL SWINE OF WHICH 730 SWINE ARE (UNDER 55 LB) AND 2643 SWINE ARE (55 LB OR OVER),3373,SWINE,TX,48313
TXG921476,ACTIVE,9/28/2017,SCHILLING FARMS,Lipscomb,36.442222,-100.222222, 36000 TOTAL SWINE OF WHICH 36000 SWINE ARE (UNDER 55 LB) AND 0 SWINE ARE (55 LB OR OVER),36000,SWINE,TX,48295
TXG921195,ACTIVE,1/22/2011,FINISHERS 31-34,Sherman,36.3211,-101.9096, 43200 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 43200 SWINE ARE (55 LB OR OVER),43200,SWINE,TX,48421
TXG921466,ACTIVE,9/1/2016,FARM 51,Ochiltree,36.2114,-100.9461, 44520 TOTAL SWINE OF WHICH 25620 SWINE ARE (UNDER 55 LB) AND 18900 SWINE ARE (55 LB OR OVER),44520,SWINE,TX,48357
TXG921385,ACTIVE,1/1/2015,SMITHFIELD PREMIUM GENETICS,Gray,35.60167,-100.76667, 50000 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 50000 SWINE ARE (55 LB OR OVER),50000,SWINE,TX,48179
TXG920538,ACTIVE,2/27/2005,TDCJ COFFIELD UNIT,Anderson,31.796578,-95.660682, 5041 TOTAL SWINE OF WHICH 2269 SWINE ARE (UNDER 55 LB) AND 2772 SWINE ARE (55 LB OR OVER),5041,SWINE,TX,48001
TXG921461,ACTIVE,9/1/2016,FARMS 53 97 & 510,Ochiltree,36.106944,-100.71972, 5456 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 5456 SWINE ARE (55 LB OR OVER),5456,SWINE,TX,48357
TXG921464,ACTIVE,9/1/2016,FARM 481,Ochiltree,36.4326,-100.6902, 6000 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 6000 SWINE ARE (55 LB OR OVER),6000,SWINE,TX,48357
TXG920525,ACTIVE,2/27/2005,TDCJ ELLIS UNIT,Walker,30.786017,-95.598312, 6562 TOTAL SWINE OF WHICH 1302 SWINE ARE (UNDER 55 LB) AND 5260 SWINE ARE (55 LB OR OVER),6562,SWINE,TX,48471
TXG920272,ACTIVE,10/15/2004,MADDOX SWINE FEEDLOT,Mills,31.25,-98.533333, 9000 TOTAL SWINE OF WHICH 9000 SWINE ARE (UNDER 55 LB) AND 0 SWINE ARE (55 LB OR OVER),9000,SWINE,TX,48333
TXG920914,ACTIVE,2/17/2007,WHITAKER SITE,Hansford,36.356111,-101.3525, 90000 TOTAL SWINE OF WHICH 90000 SWINE ARE (UNDER 55 LB) AND 0 SWINE ARE (55 LB OR OVER),90000,SWINE,TX,48195
TXG920521,ACTIVE,2/27/2005,TDCJ CLEMENS 2 UNIT,Brazoria,29.0975,-95.48, 902 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 902 SWINE ARE (55 LB OR OVER),902,SWINE,TX,48039
TXG921434,ACTIVE,1/13/2016,JBS LIVE PORK STATELINE SITE,Dallam,36.080555,-102.89, 925000 TOTAL SWINE OF WHICH 302000 SWINE ARE (UNDER 55 LB) AND 623000 SWINE ARE (55 LB OR OVER),925000,SWINE,TX,48111
TXG920468,ACTIVE,10/27/2004,PAUL FARMS SITE 1,Ochiltree,36.360277,-101.02083, 9600 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 9600 SWINE ARE (55 LB OR OVER),9600,SWINE,TX,48357
TXG920469,ACTIVE,10/27/2004,PAUL FARMS SITE 2,Ochiltree,36.229444,-101.03805, 9600 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 9600 SWINE ARE (55 LB OR OVER),9600,SWINE,TX,48357
TXG921253,ACTIVE,7/24/2012,BEATTIE CATTLE,Comanche,32.036388,-98.704444,10000 TOTAL DAIRY CATTLE OF WHICH 0 ARE MILKING DAIRY CATTLE,10000,CATTLE,TX,48093
TXG921309,ACTIVE,7/24/2013,NATURAL PRAIRIE DAIRY FARM HEIFER SITE,Hartley,35.83,-102.26,10000 TOTAL DAIRY CATTLE OF WHICH 0 ARE MILKING DAIRY CATTLE,10000,CATTLE,TX,48205
TXG920216,ACTIVE,10/1/2004,FOX DAIRY,Hale,34.180833,-101.87805,10000 TOTAL DAIRY CATTLE OF WHICH 5000 ARE MILKING DAIRY CATTLE,10000,CATTLE,TX,48189
TXG921255,ACTIVE,3/3/2012,WILDCAT DAIRY,Comanche,31.78611,-98.44111,10000 TOTAL DAIRY CATTLE OF WHICH 6500 ARE MILKING DAIRY CATTLE,10000,CATTLE,TX,48093
TXG921488,ACTIVE,3/30/2017,DESPERADO DAIRY,Erath,32.201944,-98.445,10000 TOTAL DAIRY CATTLE OF WHICH 9040 ARE MILKING DAIRY CATTLE,10000,CATTLE,TX,48143
TXG921408,ACTIVE,3/25/2015,SOUTHSIDE DAIRY 2,Castro,34.43653,-102.20035,10500 TOTAL DAIRY CATTLE OF WHICH 5500 ARE MILKING DAIRY CATTLE,10500,CATTLE,TX,48069
TXG920935,ACTIVE,4/2/2007,LONE STAR CALF RANCH,Deaf Smith,34.891944,-102.31222,105000 TOTAL DAIRY CATTLE OF WHICH 0 ARE MILKING DAIRY CATTLE,105000,CATTLE,TX,48117
TXG921607,ACTIVE,11/5/2021,VISTA GRANDE DAIRY,Hale,34.106666,-101.67694,10600 TOTAL DAIRY CATTLE OF WHICH 4600 ARE MILKING DAIRY CATTLE,10600,CATTLE,TX,48189
TXG921316,ACTIVE,9/1/2013,HIGH PLAINS DAIRY FRIONA,Parmer,34.525,-102.611,10600 TOTAL DAIRY CATTLE OF WHICH 5200 ARE MILKING DAIRY CATTLE,10600,CATTLE,TX,48369
TXG921393,ACTIVE,12/7/2014,BOER DAIRY,Dallam,36.212777,-102.51277,11000 TOTAL DAIRY CATTLE OF WHICH 4200 ARE MILKING DAIRY CATTLE,11000,CATTLE,TX,48111
TXG921632,ACTIVE,10/6/2022,HIGH LONESOME DAIRY,Deaf Smith,34.952591,-102.434426,11000 TOTAL DAIRY CATTLE OF WHICH 4500 ARE MILKING DAIRY CATTLE,11000,CATTLE,TX,48117
TXG921080,ACTIVE,9/5/2008,CAPROCK DAIRY,Lamb,34.284166,-102.601944,11100 TOTAL DAIRY CATTLE OF WHICH 7500 ARE MILKING DAIRY CATTLE,11100,CATTLE,TX,48279
TXG921368,ACTIVE,11/30/2014,EVERGREEN FARMS,Castro,34.35561,-102.499881,11550 TOTAL DAIRY CATTLE OF WHICH 5000 ARE MILKING DAIRY CATTLE,11550,CATTLE,TX,48069
TXG920268,ACTIVE,10/15/2004,VAN DIEDEN DAIRY,Franklin,33.066666,-95.3,1165 TOTAL DAIRY CATTLE OF WHICH 1165 ARE MILKING DAIRY CATTLE,1165,CATTLE,TX,48159
TXG921380,ACTIVE,1/11/2015,FB LARIAT DAIRY,Parmer,34.329722,-102.82444,11800 TOTAL DAIRY CATTLE OF WHICH 8800 ARE MILKING DAIRY CATTLE,11800,CATTLE,TX,48369
TXG920030,ACTIVE,9/1/2004,SIMPSON DAIRY,Brown,31.766666,-98.966666,1200 TOTAL DAIRY CATTLE OF WHICH 1200 ARE MILKING DAIRY CATTLE,1200,CATTLE,TX,48049
TXG920057,ACTIVE,9/1/2004,BOUMA DAIRY,Hopkins,32.980666,-95.328666,1200 TOTAL DAIRY CATTLE OF WHICH 1200 ARE MILKING DAIRY CATTLE,1200,CATTLE,TX,48223
TXG920636,ACTIVE,12/6/2006,HUMPHREY AND HUMPHREY DAIRY,Hopkins,33.069722,-95.504444,1200 TOTAL DAIRY CATTLE OF WHICH 800 ARE MILKING DAIRY CATTLE,1200,CATTLE,TX,48223
TXG920173,ACTIVE,9/29/2004,DSM DAIRY STAR,Mills,31.440833,-98.376944,1200 TOTAL DAIRY CATTLE OF WHICH 800 ARE MILKING DAIRY CATTLE,1200,CATTLE,TX,48333
TXG920211,ACTIVE,10/6/2004,JOCHUM SCHIEVINK DAIRY,Erath,31.960333,-98.238666,1200 TOTAL DAIRY CATTLE OF WHICH 950 ARE MILKING DAIRY CATTLE,1200,CATTLE,TX,48143
TXG920985,ACTIVE,9/28/2007,FULL CIRCLE JERSEYS,Dallam,36.13436,-102.53099,12000 TOTAL DAIRY CATTLE OF WHICH 5200 ARE MILKING DAIRY CATTLE,12000,CATTLE,TX,48111
TXG921522,ACTIVE,6/2/2018,CBJ FARMS,Castro,34.352222,-102.399722,12000 TOTAL DAIRY CATTLE OF WHICH 6200 ARE MILKING DAIRY CATTLE,12000,CATTLE,TX,48069
TXG921522,ACTIVE,6/2/2018,CBJ FARMS,Castro,34.352222,-102.399722,12000 TOTAL DAIRY CATTLE OF WHICH 6200 ARE MILKING DAIRY CATTLE,12000,CATTLE,TX,48069
TXG921391,ACTIVE,1/9/2015,MOUNTAIN VIEW DAIRY,Comanche,31.943166,-98.760666,1213 TOTAL DAIRY CATTLE OF WHICH 0 ARE MILKING DAIRY CATTLE,1213,CATTLE,TX,48093
TXG921585,ACTIVE,9/7/2021,RANCHO PEPPER,Erath,32.056388,-98.403333,12500 TOTAL DAIRY CATTLE OF WHICH 2500 ARE MILKING DAIRY CATTLE,12500,CATTLE,TX,48143
TXG921645,ACTIVE,4/4/2023,ZIA LAND AND CATTLE,Comanche,31.886111,-98.528888,1300 TOTAL DAIRY CATTLE OF WHICH 1300 ARE MILKING DAIRY CATTLE,1300,CATTLE,TX,48093
TXG921233,ACTIVE,11/10/2011,VAN DER JAGT JERSEY,Hopkins,33.030166,-95.502333,1302 TOTAL DAIRY CATTLE OF WHICH 1302 ARE MILKING DAIRY CATTLE,1302,CATTLE,TX,48223
TXG921367,ACTIVE,11/30/2014,PALLA 3,Randall,35.004166,-101.95972,1325 TOTAL DAIRY CATTLE OF WHICH 1175 ARE MILKING DAIRY CATTLE,1325,CATTLE,TX,48381
TXG921600,ACTIVE,9/15/2021,BEUKEBOOM RANCH,Erath,32.045,-98.356666,1350 TOTAL DAIRY CATTLE OF WHICH 0 ARE MILKING DAIRY CATTLE,1350,CATTLE,TX,48143
TXG921503,ACTIVE,4/6/2018,EXUM FARMS,Hartley,36.023888,-102.176111,135650 TOTAL DAIRY CATTLE OF WHICH 38000 ARE MILKING DAIRY CATTLE,135650,CATTLE,TX,48205
TXG921355,ACTIVE,2/2/2015,HARTLEY FARMS,Hartley,36.0018,-102.3414,135650 TOTAL DAIRY CATTLE OF WHICH 38000 ARE MILKING DAIRY CATTLE,135650,CATTLE,TX,48205
TXG921492,ACTIVE,10/6/2017,SETTING SUN DAIRY,Lamb,34.087029,-102.415799,14000 TOTAL DAIRY CATTLE OF WHICH 7000 ARE MILKING DAIRY CATTLE,14000,CATTLE,TX,48279
TXG921482,ACTIVE,2/17/2017,EXUM FARMS WEST,Hartley,36.025277,-102.200277,14000 TOTAL DAIRY CATTLE OF WHICH 7500 ARE MILKING DAIRY CATTLE,14000,CATTLE,TX,48205
TXG921208,ACTIVE,4/29/2011,MORNING STAR DAIRY,Hartley,36.032777,-102.66972,142500 TOTAL DAIRY CATTLE OF WHICH 42500 ARE MILKING DAIRY CATTLE,142500,CATTLE,TX,48205
TXG921623,ACTIVE,6/24/2022,J J DAIRY,Wood,32.938611,-95.565,1470 TOTAL DAIRY CATTLE OF WHICH 1470 ARE MILKING DAIRY CATTLE,1470,CATTLE,TX,48499
TXG920068,ACTIVE,9/1/2004,AMELIA DAIRY,Wood,33.957833,-95.263166,1475 TOTAL DAIRY CATTLE OF WHICH 1475 ARE MILKING DAIRY CATTLE,1475,CATTLE,TX,48499
TXG920982,ACTIVE,6/20/2008,SUNSET HEIFER RANCH,Erath,32.226388,-98.372777,1485 TOTAL DAIRY CATTLE OF WHICH 0 ARE MILKING DAIRY CATTLE,1485,CATTLE,TX,48143
TXG921624,ACTIVE,7/6/2022,OUTPOST 76 I,Hopkins,33.083611,-95.432777,1485 TOTAL DAIRY CATTLE OF WHICH 1115 ARE MILKING DAIRY CATTLE,1485,CATTLE,TX,48223
TXG921540,ACTIVE,1/13/2019,A&E DAIRY,Comanche,31.90219,-98.52021,1485 TOTAL DAIRY CATTLE OF WHICH 1485 ARE MILKING DAIRY CATTLE,1485,CATTLE,TX,48093
TXG921139,ACTIVE,8/4/2010,SUMMIT DAIRY,Van Zandt,32.45217,-95.90439,1485 TOTAL DAIRY CATTLE OF WHICH 1485 ARE MILKING DAIRY CATTLE,1485,CATTLE,TX,48467
TXG920637,ACTIVE,1/29/2007,OPITZ DAIRY,Van Zandt,32.477333,-95.863388,1485 TOTAL DAIRY CATTLE OF WHICH 1485 ARE MILKING DAIRY CATTLE,1485,CATTLE,TX,48467
TXG920086,ACTIVE,9/10/2004,BILLY LASATER DAIRY,Hamilton,31.700833,-98.310833,1498 TOTAL DAIRY CATTLE OF WHICH 1200 ARE MILKING DAIRY CATTLE,1498,CATTLE,TX,48193
TXG921582,ACTIVE,1/11/2021,WHALEY HEIFER RANCH,Erath,31.987777,-98.319722,1500 TOTAL DAIRY CATTLE OF WHICH 0 ARE MILKING DAIRY CATTLE,1500,CATTLE,TX,48143
TXG921343,ACTIVE,5/21/2014,VAN DER JAGT DAIRY,Hopkins,33.083166,-95.674166,1500 TOTAL DAIRY CATTLE OF WHICH 1500 ARE MILKING DAIRY CATTLE,1500,CATTLE,TX,48223
TXG921269,ACTIVE,5/17/2012,KNOLLE DAIRY 5,Jim Wells,28.011666,-97.833333,1500 TOTAL DAIRY CATTLE OF WHICH 1500 ARE MILKING DAIRY CATTLE,1500,CATTLE,TX,48249
TXG920314,ACTIVE,10/17/2004,WHITE RIVER RANCH,Castro,34.3625,-102.22055,15300 TOTAL DAIRY CATTLE OF WHICH 7000 ARE MILKING DAIRY CATTLE,15300,CATTLE,TX,48069
TXG921414,ACTIVE,5/3/2015,CNOSSEN DAIRY,Deaf Smith,35.036656,-102.33988,15400 TOTAL DAIRY CATTLE OF WHICH 13000 ARE MILKING DAIRY CATTLE,15400,CATTLE,TX,48117
TXG921396,ACTIVE,1/24/2015,HILLSIDE HEIFERS,Erath,32.214444,-98.111111,1550 TOTAL DAIRY CATTLE OF WHICH 750 ARE MILKING DAIRY CATTLE,1550,CATTLE,TX,48143
TXG921016,ACTIVE,12/29/2007,A TEX DAIRY,Parmer,34.525833,-102.67888,15520 TOTAL DAIRY CATTLE OF WHICH 5000 ARE MILKING DAIRY CATTLE,15520,CATTLE,TX,48369
TXG921143,ACTIVE,1/28/2010,RJ DAIRY,Erath,32.077986,-98.384178,1600 TOTAL DAIRY CATTLE OF WHICH 845 ARE MILKING DAIRY CATTLE,1600,CATTLE,TX,48143
TXG920426,ACTIVE,10/27/2004,DOUBLE S DAIRIES,Hartley,35.928055,-102.33527,16000 TOTAL DAIRY CATTLE OF WHICH 6000 ARE MILKING DAIRY CATTLE,16000,CATTLE,TX,48205
TXG921505,ACTIVE,11/5/2017,DAIRY FOUNTAIN,Hale,34.283888,-101.98083,16100 TOTAL DAIRY CATTLE OF WHICH 7000 ARE MILKING DAIRY CATTLE,16100,CATTLE,TX,48189
TXG921160,ACTIVE,5/7/2010,COLDWATER EAST,Sherman,36.146388,-102.095555,17000 TOTAL DAIRY CATTLE OF WHICH 4500 ARE MILKING DAIRY CATTLE,17000,CATTLE,TX,48421
TXG921604,ACTIVE,10/10/2021,TMC DAIRIES,Hartley,35.814515,-102.395771,17000 TOTAL DAIRY CATTLE OF WHICH 6000 ARE MILKING DAIRY CATTLE,17000,CATTLE,TX,48205
TXG920374,ACTIVE,10/24/2004,LEGACY FARMS,Hale,34.159722,-101.635,17300 TOTAL DAIRY CATTLE OF WHICH 7000 ARE MILKING DAIRY CATTLE,17300,CATTLE,TX,48189
TXG920150,ACTIVE,9/26/2004,OVERWHERE DAIRY,Comanche,32.009716,-98.431,1784 TOTAL DAIRY CATTLE OF WHICH 1784 ARE MILKING DAIRY CATTLE,1784,CATTLE,TX,48093
TXG920893,ACTIVE,10/27/2008,NEW BENNINGER DAIRY,Bowie,33.363333,-94.688333,1798 TOTAL DAIRY CATTLE OF WHICH 1798 ARE MILKING DAIRY CATTLE,1798,CATTLE,TX,48037
TXG921633,ACTIVE,11/18/2022,SHILOH RANCH,Comanche,31.859722,-98.501111,1800 TOTAL DAIRY CATTLE OF WHICH 0 ARE MILKING DAIRY CATTLE,1800,CATTLE,TX,48093
TXG920274,ACTIVE,10/10/2004,BEUKEBOOM DAIRY,Erath,32.048055,-98.358055,1865 TOTAL DAIRY CATTLE OF WHICH 1865 ARE MILKING DAIRY CATTLE,1865,CATTLE,TX,48143
TXG920840,ACTIVE,9/23/2006,DEER CREEK FEEDING,Dallam,36.233333,-102.54111,188000 TOTAL DAIRY CATTLE OF WHICH 0 ARE MILKING DAIRY CATTLE,188000,CATTLE,TX,48111
TXG921576,ACTIVE,8/5/2020,PROCTOR HILL DAIRY,Comanche,31.990136,-98.441154,2000 TOTAL DAIRY CATTLE OF WHICH 0 ARE MILKING DAIRY CATTLE,2000,CATTLE,TX,48093
TXG920945,ACTIVE,1/16/2008,LOMA VISTA DAIRY,Hudspeth,31.235555,-105.78694,2000 TOTAL DAIRY CATTLE OF WHICH 1400 ARE MILKING DAIRY CATTLE,2000,CATTLE,TX,48229
TXG920025,ACTIVE,8/18/2004,FLUIT DAIRY,Erath,32.16,-98.375,2000 TOTAL DAIRY CATTLE OF WHICH 1600 ARE MILKING DAIRY CATTLE,2000,CATTLE,TX,48143
TXG921101,ACTIVE,11/23/2008,STAR DAIRY,Lamar,33.534722,-95.484444,2000 TOTAL DAIRY CATTLE OF WHICH 2000 ARE MILKING DAIRY CATTLE,2000,CATTLE,TX,48277
TXG920736,ACTIVE,12/14/2006,145 RANCH,Parmer,34.377222,-102.89833,20000 TOTAL DAIRY CATTLE OF WHICH 0 ARE MILKING DAIRY CATTLE,20000,CATTLE,TX,48369
TXG921575,ACTIVE,7/22/2020,SUNDANCE DAIRY,Erath,31.973611,-98.252777,20000 TOTAL DAIRY CATTLE OF WHICH 3500 ARE MILKING DAIRY CATTLE,20000,CATTLE,TX,48143
TXG921575,ACTIVE,7/22/2020,SUNDANCE DAIRY,Erath,31.973611,-98.252777,20000 TOTAL DAIRY CATTLE OF WHICH 3500 ARE MILKING DAIRY CATTLE,20000,CATTLE,TX,48143
TXG921639,ACTIVE,1/27/2023,RED ROCK DAIRY,Lamb,34.097222,-102.36805,20000 TOTAL DAIRY CATTLE OF WHICH 8000 ARE MILKING DAIRY CATTLE,20000,CATTLE,TX,48279
TXG921420,ACTIVE,5/17/2015,DEL RIO DAIRY,Parmer,34.492777,-102.72722,20500 TOTAL DAIRY CATTLE OF WHICH 9000 ARE MILKING DAIRY CATTLE,20500,CATTLE,TX,48369
TXG920831,ACTIVE,8/30/2006,VANDERHAM DAIRY II,Castro,34.348333,-102.14861,21700 TOTAL DAIRY CATTLE OF WHICH 9300 ARE MILKING DAIRY CATTLE,21700,CATTLE,TX,48069
TXG921418,ACTIVE,5/3/2015,CNOSSEN HEIFER YARD,Deaf Smith,35.001666,-102.34027,22000 TOTAL DAIRY CATTLE OF WHICH 12000 ARE MILKING DAIRY CATTLE,22000,CATTLE,TX,48117
TXG921437,ACTIVE,1/13/2016,JBS LIVE PORK - PANHANDLE SITE,Dallam,36.195833,-102.8,220000 TOTAL SWINE OF WHICH 58000 SWINE ARE (UNDER 55 LB) AND 162000 SWINE ARE (55 LB OR OVER),220000,SWINE,TX,48111
